Area,Hospital,Beds,Doctors,Patients_Per_Day,Latitude,Longitude
Delhi,Safdarjung Hospital,560,120,850,28.5712,77.1904
Delhi,AIIMS Delhi,2000,450,3200,28.6381,77.229
Delhi,Ram Manohar Lohia Hospital,800,180,1100,28.7012,77.1752
Delhi,St. Stephen's Hospital,650,140,900,28.5831,77.237
Delhi,Maulana Azad Medical College,750,160,1000,28.673,77.2398
Mumbai,Lilavati Hospital,700,150,950,19.0325,72.8448
Mumbai,Apollo Hospital Mumbai,1200,280,1800,19.0257,72.8459
Mumbai,Fortis Mulund,850,190,1100,19.1109,72.8612
Mumbai,Hinduja Hospital,900,200,1250,19.0847,72.8858
Mumbai,BMC Hospital,1100,220,1400,19.0613,72.8335
Mumbai,Grant Medical College,900,200,1250,19.0317,72.8509
Bangalore,Apollo Hospital Bangalore,1100,250,1600,13.1914,77.5774
Bangalore,Manipal Hospital,950,210,1350,13.0334,77.5924
Bangalore,St. Martha's Hospital,800,180,1000,13.2017,77.7132
Bangalore,Fortis Hospital Bangalore,900,200,1200,13.0865,77.6098
Bangalore,Narayana Health Bangalore,1300,280,1850,13.1582,77.564
Bangalore,Indraprastha Apollo,1000,220,1400,13.2374,77.5194
Chennai,Fortis Malar,380,80,620,13.0532,80.2374
Chennai,Apollo Hospital Chennai,950,210,1300,13.0684,80.2537
Chennai,Vijaya Hospital,750,160,950,13.0279,80.2608
Chennai,Dr. Kamakshi Memorial Hospital,800,170,1050,13.0769,80.2774
Chennai,MIOT International,900,190,1200,13.1892,80.1782
Hyderabad,Care Hospital,420,88,710,17.3608,78.4626
Hyderabad,Apollo Hospital Hyderabad,1000,220,1450,17.3837,78.5248
Hyderabad,Yashoda Hospital,900,200,1250,17.3797,78.4781
Hyderabad,Continental Hospital,800,170,1100,17.393,78.4982
Hyderabad,Max Hospital Hyderabad,850,180,1150,17.3548,78.5439
Kolkata,SSKM Hospital,550,110,890,22.5227,88.3631
Kolkata,Belle Vue Clinic,900,190,1200,22.5397,88.3355
Kolkata,Peerless Hospital,850,180,1100,22.571,88.2461
Kolkata,Apollo Hospital Kolkata,950,210,1300,22.5515,88.361
Kolkata,Fortis Hospital Kolkata,850,180,1100,22.5721,88.3672
Pune,Deenanath Mangeshkar,480,102,720,18.5344,73.8516
Pune,Jehangir Hospital,750,160,950,18.5234,73.8567
Pune,Apollo Hospital Pune,900,200,1200,18.5384,73.8797
Pune,Inamdar Multispecialty Hospital,700,150,950,18.5174,73.8571
Pune,Medicover Hospital Pune,800,170,1050,18.5427,73.9022
Ahmedabad,Civil Hospital,420,85,650,23.0334,72.5616
Ahmedabad,Apollo Hospital Ahmedabad,880,190,1100,23.021,72.5387
Ahmedabad,Sterling Hospital,650,140,850,23.0304,72.5238
Ahmedabad,Saifee Hospital,700,150,950,23.0302,72.567
Ahmedabad,Medanta Hospital Ahmedabad,900,190,1200,23.0269,72.5307
Jaipur,SMS Hospital,580,115,820,26.8851,75.7867
Jaipur,Manipal Hospital Jaipur,750,160,950,26.9058,75.8052
Jaipur,Fortis Hospital Jaipur,800,170,1050,26.9467,75.7799
Jaipur,Max Hospital Jaipur,700,150,950,26.8996,75.791
Lucknow,King George Medical,500,98,740,26.8617,80.9561
Lucknow,Apollo Hospital Lucknow,750,160,950,26.8577,80.9305
Lucknow,Medanta Hospital Lucknow,850,180,1100,26.8565,80.9461
Lucknow,Shatabdi Medical College,700,150,950,26.8545,80.9144
Chandigarh,PGIMER,600,130,900,30.7316,76.8162
Chandigarh,Apollo Hospital Chandigarh,700,150,950,30.7271,76.8425
Chandigarh,Fortis Hospital Chandigarh,650,140,850,30.7588,76.8498
Chandigarh,Healing Hospital,700,150,1000,30.7342,76.8157
Indore,Choithram Hospital,350,72,580,22.7121,75.8668
Indore,Apollo Hospital Indore,700,150,950,22.7243,75.8631
Indore,Medanta Hospital Indore,750,160,1000,22.7459,75.8254
Indore,Fortis Hospital Indore,680,145,920,22.7204,75.8525
Surat,New Civil Hospital,440,92,710,21.1774,72.8463
